1. 8,550.405 -- 55,211 -- New York City, NY
2. 3,971,883 -- 34,943 -- Los Angeles, CA
3. 2,720,546 -- (-2,890) -- Chicago, IL  
4. 2,296,224 -- 40,032 -- Houston, TX   
5. 1,567,442 -- 5,880 -- Philadelphia, PA  
6. 1,563,025 -- 24,614 -- Phoenix, AZ   
7. 1,469,845 -- 29,536 -- San Antonio, TX  
8. 1,394,928 -- 12,677 -- San Diego, CA 
9. 1,300,092 -- 19,642 -- Dallas, TX   
10.1,026,908 -- 10,311 -- San Jose, CA  

11. 931,830 -- 19,117 -- Austin, TX
12. 868,031 -- 13,069 -- Jacksonville, FL  
13. 864,816 -- 12,279 -- San Francisco, CA 
14. 853,173 -- 4,121 -- Indianapolis, IN  
15. 850,106 -- 12,175 -- Columbus, OH  
16. 833,319 -- 19,894 -- Fort Worth, TX  
17. 827,097 -- 17,695 -- Charlotte, NC  
18. 684,451 -- 15,339 -- Seattle, WA
19. 682,545 -- 18,582 -- Denver, CO  
20. 681,124 -- 442 -- El Paso, TX   

21. 677,116 -- (-3,107) -- Detroit, MI 
22. 672,228 -- 12,392 -- Washington, DC  
23. 667,137 -- 6,859 -- Boston, MA  
24. 655,770 -- (-712) -- Memphis, TN 
25. 654,610 -- 9,881 -- Nashville, TN  
26. 632,309 -- 11,889 -- Portland, OR   
27. 631,346 -- 10,328 -- Oklahoma City, OK  
28. 623,747 -- 10,220 -- Las Vegas, NV 
29. 621,849 -- (1,862) -- Baltimore, MD
30. 615,366 -- 2,545 -- Louisville, KY

31. 600,155 -- (-443) -- Milwaukee, WI
32. 559,121 -- 1,227 -- Albuquerque, NM  
33. 531,641 -- 1,187 -- Tucson, AZ   
34. 520,052 -- 4,608 -- Fresno, CA  
35. 490,712 -- 5,722 -- Sacramento, CA  
36. 475,378 -- 4,496 -- Kansas City, MO  
37. 474,140 -- 1,710 -- Long Beach, CA  
38. 471,825 -- 6,447 -- Mesa, AZ   
39. 463,878 -- 7,735 -- Atlanta, GA  
40. 456,568 -- 7,607 -- Colorado Springs, CO 

41. 452,745 -- 1,866 -- Virginia Beach, VA
42. 451,066 -- 10,667 -- Raleigh, NC   
43. 443,885 -- 1,569 -- Omaha, NE   
44. 441,003 -- 9,627 -- Miami, FL  
45. 419,267 -- 4,928 -- Oakland, CA  
46. 410,939 -- 3,730 -- Minneapolis, MN  
47. 403,505 -- 3,288 -- Tulsa, OK  
48. 389,965 -- 1,153 -- Wichita, KS  
49. 389,617 -- 5,257 -- New Orleans, LA
50. 388,125 -- 4,611 -- Arlington, TX  

51. 388,072 -- (-1,788) -- Cleveland, OH 
52. 373,640 -- 4,946 -- Bakersfield, CA  
53. 369,075 -- 9,054 -- Tampa, FL   
54. 359,407 -- 6,701 -- Aurora, CO   
55. 352,769 -- 2,274 -- Honolulu, HI   
56. 350,742 -- 3,895 -- Anaheim, CA  
57. 335,400 -- 155 -- Santa Ana, CA  
58. 324,074 -- 3,323 -- Corpus Christi, TX  
59. 322,424 -- 3,112 -- Riverside, CA  
60. 315,685 -- (-1,537) -- St. Louis, MO  

61. 314,488 -- 3,089 -- Lexington, KY  
62. 305,658 -- 3,584 -- Stockton, CA 
63. 304,391 -- (-1,374) -- Pittsburgh, PA 
64. 300,851 -- 2,674 -- St. Paul, MN  
65. 298,695 -- (1,662) -- Anchorage, AK  
66. 298,550 -- 509 -- Cincinnati, OH 
67. 285,667 -- 8,365 -- Henderson, NV   
68. 285,342 -- 2,394 -- Greensboro, NC  
69. 283,558 -- 4,890 -- Plano, TX 
70. 281,944 -- 964 -- Newark, NJ   

71. 279,789 -- (-803) -- Toledo, OH   
72. 277,348 -- 3,443 -- Lincoln, NE 
73. 270,934 -- 7,860 -- Orlando, FL 
74. 265,757 -- 4,568 -- Chula Vista, CA  
75. 264,290 -- 1,963 -- Jersey City, NJ  
76. 260,828 -- 6,359 -- Chandler, AZ
77. 260,326 -- 1,956 -- Fort Wayne, IN  
78. 258,071 -- (-1,188) -- Buffalo, NY  
79. 257,636 -- 5,128 -- Durham, NC  
80. 257,083 -- 3,369 -- St. Petersburg, FL   

81. 256,927 -- 8,526 -- Irvine, CA 
82. 255,473 -- 2,838 -- Laredo, TX  
83. 249,042 -- 4,181 -- Lubbock, TX   
84. 248,951 -- 2,939 -- Madison, WI   
85. 247,542 -- 8,127 -- Gilbert, AZ   
86. 246,393 -- 194 -- Norfolk, VA   
87. 241,445 -- 4,370 -- Reno, NV 
88. 241,218 -- 1,680 -- Winston-Salem, NC  
89. 240,126 -- 2,652 -- Glendale, AZ   
90. 237,069 -- 925 -- Hialeah, FL   

91. 236,897 -- 1,249 -- Garland, TX   
92. 236,839 -- 6,179 -- Scottsdale, AZ   
93. 236,607 -- 4,097 -- Irving, TX   
94. 235,429 -- 1,950 -- Chesapeake, VA   
95. 234,807 -- 4,099 -- North Las Vegas, NV   
96. 232,206 -- 3,208 -- Fremont, CA    
97. 228,590 -- (-417) -- Baton Rouge, LA  
98. 220,289 -- 3,379 -- Richmond, VA  
99. 218,281 -- 1,290 -- Boise City, ID    
100. 216,108 -- 1,239 -- San Bernardino, CA